evidence_id,source_key,source_record_id,source_status,source_url,property_key,geo_id,address,property_name,organization,equipment_type,evidence_confidence,signal_type,tower_lifecycle_event,tower_lifecycle_event_context,permit_project_key,description_fingerprint,event_date,event_age_days,recent_activity_365d,priority,description
permit:active:23 216429 MSA:00:chiller,toronto_building_permits_active,active:23 216429 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:0fe02942cdb7892c,,323 RICHMOND ST E,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,REPLACE_OR_RENEW_TOWER,toronto-permit:23 216429 MSA,28b68b606ba8da54,2023-10-26,1037,False,,Replacement of Chiller and Cooling Tower. | Other(MS) | Mechanical(MS) | Condominium | Condominium | Apartment Building
permit:active:23 216429 MSA:00:cooling_tower,toronto_building_permits_active,active:23 216429 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:0fe02942cdb7892c,,323 RICHMOND ST E,,,cooling_tower,CONFIRMED,SOURCE_ACTIVE_COOLING_TOWER_PERMIT,REPLACE_OR_RENEW_TOWER,,toronto-permit:23 216429 MSA,28b68b606ba8da54,2023-10-26,1037,False,,Replacement of Chiller and Cooling Tower. | Other(MS) | Mechanical(MS) | Condominium | Condominium | Apartment Building
permit:active:17 126227 MSA:00:chiller,toronto_building_permits_active,active:17 126227 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:16a352860622bb56,,71 SIMCOE ST,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:17 126227 MSA,2a69651363efe0b2,2017-04-04,3433,False,,"Replacement of Existing Air cooled Chiller Unit, and existing chilled water pumps. | Alter: Boiler/Furnace/AC Replacement | Mechanical(MS) | Apartment | Apartment | Apartment Building"
permit:active:08 109575 HVA:00:chiller,toronto_building_permits_active,active:08 109575 HVA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:c972c91ae7b1dc29,,3197-3199 LAKE SHORE BLVD W,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:08 109575 HVA,c86e76da62cbb16f,2008-03-07,6748,False,,HVAC - removal of exsting chiller tower with structural work to roof | Building Permit Related(MS) | Mechanical(MS) | Sr'S Home | Sr'S Home | Home for the Aged
permit:cleared:08 109575 BLD:00:chiller,toronto_building_permits_cleared,cleared:08 109575 BLD:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-address:c972c91ae7b1dc29,,3197-3199 LAKE SHORE BLVD W,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:08 109575 BLD,c2a5beb40d3774f6,2026-06-08,,,,removal of exsting chiller tower with structural work to roof | Other(BA) | Building Additions/Alterations | Sr'S Home | Sr'S Home | Home for the Aged
permit:active:26 102675 MSA:00:chiller,toronto_building_permits_active,active:26 102675 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:e594fd4f2a055b06,,50 OAK ST,,,chiller,SUPPORTING,RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT,,INSTALL_OR_ADD_TOWER,toronto-permit:26 102675 MSA,8798b0177ebeac4f,2026-02-09,200,True,,"The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | HVAC: Other Group C Buildings | Mechanical(MS) | Apartment Building | Apartment Building | Apartment Building"
permit:active:26 102675 MSA:00:cooling_tower,toronto_building_permits_active,active:26 102675 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-address:e594fd4f2a055b06,,50 OAK ST,,,cooling_tower,CONFIRMED,RECENT_SOURCE_ACTIVE_COOLING_TOWER_PERMIT,INSTALL_OR_ADD_TOWER,,toronto-permit:26 102675 MSA,8798b0177ebeac4f,2026-02-09,200,True,,"The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | HVAC: Other Group C Buildings | Mechanical(MS) | Apartment Building | Apartment Building | Apartment Building"
permit:cleared:20 199320 MSA:00:chiller,toronto_building_permits_cleared,cleared:20 199320 MSA:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10011100,10011100,30 DEE AVE,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:20 199320 MSA,48d4c221558593a2,2022-03-14,,,,"Proposal to replace the mechanical system - chiller unit, boiler, humidifiers | Alter: Boiler/Furnace/AC Replacement | Mechanical(MS) | Industrial - City Water Plant | Industrial - City Water Plant | Industrial"
permit:cleared:17 106758 MSA:00:chiller,toronto_building_permits_cleared,cleared:17 106758 MSA:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:1008107,1008107,101 HUMBER COLLEGE BLVD,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:17 106758 MSA,fd15ac3223839b32,2017-03-15,,,,"Installation of chiller on the roof, refridgeration piping, clycol, new chiller system connected to existing seimens CDU | Other(MS) | Mechanical(MS) | Hospital | Hospital | Hospital"
permit:active:20 165219 MSA:00:chiller,toronto_building_permits_active,active:20 165219 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10133201,10133201,22 ST CLAIR AVE E,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,REPLACE_OR_RENEW_TOWER,toronto-permit:20 165219 MSA,ff0b9aba91afcacb,2020-09-22,2166,False,,"Proposal to replace cooling tower , two chillers and associated pumps and piping for chiller plant upgrades. | Alter: Boiler/Furnace/AC Replacement | Mechanical(MS) | Office | Office | Multiple Unit Building"
