property_key,tower_status,address,property_name,organization,geo_id,equipment_types,commercial_signals,renewal_priorities,latest_source_event_date,source_keys,evidence_count
toronto-geoid:856375,NO_TOWER_ASSERTION,100 QUEEN ST W,,,856375,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],1997-12-18,"[""toronto_building_permits_active""]",1
toronto-geoid:785208,NO_TOWER_ASSERTION,101 COLLEGE ST,,,785208,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2010-05-13,"[""toronto_building_permits_active""]",3
toronto-geoid:7929297,NO_TOWER_ASSERTION,107 WELLINGTON ST W,,,7929297,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2013-05-07,"[""toronto_building_permits_active""]",2
toronto-geoid:10759047,NO_TOWER_ASSERTION,11 WALMER RD,,,10759047,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2022-10-28,"[""toronto_building_permits_active""]",1
toronto-geoid:7274128,NO_TOWER_ASSERTION,110 DREWRY AVE,,,7274128,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2012-03-15,"[""toronto_building_permits_active""]",1
toronto-geoid:873387,NO_TOWER_ASSERTION,110 ST GEORGE ST,,,873387,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2026-05-12,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:852873,NO_TOWER_ASSERTION,120 PEARL ST,,,852873,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2021-07-27,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",6
toronto-geoid:772677,NO_TOWER_ASSERTION,121 BLOOR ST E,,,772677,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-12-07,"[""toronto_building_permits_active""]",1
toronto-geoid:10750671,NO_TOWER_ASSERTION,130 OVERLEA BLVD,,,10750671,"[""chiller""]","[""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2025-09-08,"[""toronto_building_permits_active""]",2
toronto-geoid:14200071,NO_TOWER_ASSERTION,130 QUEEN ST W,,,14200071,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2026-06-08,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",3
toronto-geoid:6282913,NO_TOWER_ASSERTION,150 SHERWAY DR,,,6282913,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-02-17,"[""toronto_building_permits_active""]",2
toronto-geoid:8105939,NO_TOWER_ASSERTION,16 RUSSELL ST,,,8105939,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2020-08-27,"[""toronto_building_permits_active""]",3
toronto-geoid:321805,NO_TOWER_ASSERTION,161 COMMANDER BLVD,,,321805,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2006-10-10,"[""toronto_building_permits_active""]",1
toronto-geoid:4030670,NO_TOWER_ASSERTION,170 ST GEORGE ST,,,4030670,"[""chiller""]","[""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2026-08-19,"[""toronto_building_permits_active""]",1
toronto-geoid:3327203,NO_TOWER_ASSERTION,1755 STEELES AVE W,,,3327203,"[""chiller""]","[""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2026-07-15,"[""toronto_building_permits_active""]",1
toronto-geoid:12601262,NO_TOWER_ASSERTION,190 SIMCOE ST,,,12601262,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2011-05-19,"[""toronto_building_permits_active""]",1
toronto-geoid:10154617,NO_TOWER_ASSERTION,1900 SHEPPARD AVE W,,,10154617,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-12-10,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:8535820,NO_TOWER_ASSERTION,2 BLOOR ST E,,,8535820,"[""chiller""]","[""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2026-07-28,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",6
toronto-geoid:874651,NO_TOWER_ASSERTION,2 STRACHAN AVE,,,874651,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-01-09,"[""toronto_building_permits_active""]",2
toronto-geoid:20573,NO_TOWER_ASSERTION,200 DAWES RD,,,20573,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2007-08-27,"[""toronto_building_permits_active""]",2
toronto-geoid:13977191,NO_TOWER_ASSERTION,222 BREMNER BLVD,,,13977191,"[""chiller"",""condenser_water""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2021-04-28,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",5
toronto-geoid:8354416,NO_TOWER_ASSERTION,230 THE ESPLANADE,,,8354416,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2025-06-25,"[""toronto_building_permits_active""]",2
toronto-geoid:7042041,NO_TOWER_ASSERTION,24 MABELLE AVE,,,7042041,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2012-02-08,"[""toronto_building_permits_active""]",1
toronto-geoid:20120574,NO_TOWER_ASSERTION,246 SACKVILLE ST,,,20120574,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2019-07-12,"[""toronto_building_permits_active""]",1
toronto-geoid:5222597,NO_TOWER_ASSERTION,25 BRUCEWOOD CRES,,,5222597,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2022-01-11,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",3
toronto-geoid:10906700,NO_TOWER_ASSERTION,25 ELM ST,,,10906700,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-06-01,"[""toronto_building_permits_active""]",1
